"Per capita sales of food for all purchasers with taxes and tips, by State","","","","","","",""
"(U.S. Dollars)","","","","","","",""
"Year","State","Nominal sales per capita","","Total nominal food sales per capita","Constant-dollar sales per capita (1988=100)","","Total constant-dollar food sales per capita"
"2018","Vermont","2,749.41","2,658.36","5,407.77","1,314.72","1,199.88","2,514.60"
"2019","Vermont","2,817.54","2,751.40","5,568.94","1,336.59","1,207.26","2,543.84"
"2020","Vermont","2,866.33","2,164.75","5,031.08","1,314.68","916.70","2,231.38"
"2021","Vermont","3,023.43","2,755.71","5,779.14","1,354.93","1,113.89","2,468.82"
"2022","Vermont","3,208.28","3,245.16","6,453.44","1,305.61","1,227.22","2,532.83"
"2023","Vermont","3,237.35","3,511.18","6,748.54","1,257.32","1,242.50","2,499.82"
"1997","Virginia","1,524.15","1,096.80","2,620.96","1,133.55","842.21","1,975.76"
"1998","Virginia","1,555.95","1,131.74","2,687.69","1,140.30","846.73","1,987.04"
"1999","Virginia","1,650.67","1,167.28","2,817.94","1,190.83","852.47","2,043.30"
"2000","Virginia","1,684.46","1,234.42","2,918.88","1,183.42","881.52","2,064.95"
"2001","Virginia","1,740.31","1,272.94","3,013.25","1,188.68","885.27","2,073.95"
"2002","Virginia","1,773.73","1,301.68","3,075.40","1,195.95","885.14","2,081.09"
"2003","Virginia","1,814.07","1,372.84","3,186.91","1,197.29","911.75","2,109.04"
"2004","Virginia","1,902.81","1,476.53","3,379.34","1,208.21","951.20","2,159.41"
"2005","Virginia","2,014.68","1,563.03","3,577.72","1,253.75","978.59","2,232.34"
"2006","Virginia","2,129.00","1,652.89","3,781.89","1,299.68","1,004.04","2,303.72"
"2007","Virginia","2,252.32","1,731.61","3,983.92","1,319.62","1,017.11","2,336.73"
"2008","Virginia","2,306.65","1,761.89","4,068.54","1,266.31","989.36","2,255.67"
"2009","Virginia","2,211.37","1,716.48","3,927.85","1,204.83","930.09","2,134.92"
"2010","Virginia","2,237.20","1,726.64","3,963.84","1,211.76","923.83","2,135.59"
"2011","Virginia","2,337.01","1,812.36","4,149.37","1,204.19","948.59","2,152.78"
"2012","Virginia","2,457.91","1,870.96","4,328.87","1,233.17","953.04","2,186.21"
"2013","Virginia","2,436.94","1,946.24","4,383.18","1,208.29","969.14","2,177.42"
"2014","Virginia","2,482.48","2,069.44","4,551.92","1,201.58","1,006.77","2,208.36"
"2015","Virginia","2,484.55","2,247.32","4,731.87","1,190.30","1,060.94","2,251.24"
"2016","Virginia","2,517.73","2,385.36","4,903.09","1,223.58","1,104.04","2,327.61"
"2017","Virginia","2,613.99","2,527.12","5,141.11","1,273.19","1,146.56","2,419.75"
"2018","Virginia","2,661.87","2,619.41","5,281.28","1,292.64","1,163.87","2,456.51"
"2019","Virginia","2,706.40","2,707.30","5,413.70","1,305.28","1,167.05","2,472.33"
"2020","Virginia","2,885.60","2,341.41","5,227.01","1,344.40","982.50","2,326.90"
"2021","Virginia","3,106.68","2,908.69","6,015.37","1,399.34","1,175.09","2,574.43"
"2022","Virginia","3,277.14","3,290.33","6,567.47","1,325.31","1,233.43","2,558.74"
"2023","Virginia","3,278.01","3,543.71","6,821.72","1,258.42","1,240.19","2,498.60"
"1997","Washington","1,594.44","1,107.02","2,701.46","1,140.01","863.98","2,003.99"
"1998","Washington","1,619.28","1,156.13","2,775.40","1,123.26","878.83","2,002.10"
"1999","Washington","1,699.17","1,199.81","2,898.98","1,155.28","892.78","2,048.05"
"2000","Washington","1,752.30","1,252.24","3,004.53","1,167.53","911.41","2,078.94"
"2001","Washington","1,801.52","1,271.96","3,073.48","1,152.18","897.42","2,049.59"
"2002","Washington","1,824.09","1,285.78","3,109.87","1,145.22","878.20","2,023.43"
"2003","Washington","1,897.97","1,349.98","3,247.95","1,160.31","904.52","2,064.83"
"2004","Washington","2,029.75","1,423.88","3,453.63","1,196.27","925.56","2,121.83"
"2005","Washington","2,172.33","1,517.10","3,689.43","1,268.74","952.06","2,220.80"
"2006","Washington","2,278.02","1,606.99","3,885.01","1,314.63","979.73","2,294.37"
"2007","Washington","2,397.99","1,689.13","4,087.12","1,321.64","994.17","2,315.82"
"2008","Washington","2,501.10","1,719.19","4,220.29","1,298.37","974.79","2,273.16"
"2009","Washington","2,437.80","1,641.49","4,079.29","1,274.79","902.61","2,177.40"
"2010","Washington","2,504.96","1,660.98","4,165.95","1,317.82","902.74","2,220.55"
"2011","Washington","2,619.64","1,742.92","4,362.55","1,313.94","926.47","2,240.41"
"2012","Washington","2,823.78","1,828.99","4,652.78","1,391.23","943.37","2,334.60"
"2013","Washington","2,801.44","1,966.72","4,768.15","1,367.98","993.48","2,361.45"
"2014","Washington","2,830.96","2,137.46","4,968.41","1,344.85","1,053.69","2,398.53"
"2015","Washington","2,843.01","2,349.53","5,192.54","1,328.31","1,125.87","2,454.18"
"2016","Washington","2,786.19","2,499.57","5,285.76","1,316.88","1,159.70","2,476.58"
"2017","Washington","2,932.57","2,664.38","5,596.95","1,390.37","1,196.94","2,587.30"
"2018","Washington","3,018.96","2,826.45","5,845.41","1,425.09","1,227.91","2,653.01"
"2019","Washington","3,129.79","2,951.67","6,081.45","1,455.23","1,238.28","2,693.51"
"2020","Washington","3,365.87","2,515.18","5,881.06","1,504.99","1,008.95","2,513.94"
"2021","Washington","3,719.12","3,251.16","6,970.28","1,593.44","1,243.55","2,836.99"
"2022","Washington","4,054.35","3,838.29","7,892.64","1,559.25","1,368.44","2,927.68"
"2023","Washington","4,037.40","4,259.84","8,297.24","1,484.05","1,413.41","2,897.46"
"1997","West Virginia","1,390.64","799.15","2,189.79","1,034.25","613.65","1,647.90"
"1998","West Virginia","1,364.43","840.08","2,204.51","999.95","628.52","1,628.47"
"1999","West Virginia","1,375.71","862.25","2,237.96","992.47","629.71","1,622.18"
"2000","West Virginia","1,342.51","920.38","2,262.89","943.18","657.26","1,600.45"
"2001","West Virginia","1,354.24","965.98","2,320.23","924.99","671.80","1,596.78"
"2002","West Virginia","1,337.16","1,009.59","2,346.75","901.59","686.52","1,588.11"
"2003","West Virginia","1,348.18","1,061.40","2,409.58","889.80","704.91","1,594.71"
"2004","West Virginia","1,426.40","1,111.90","2,538.31","905.71","716.30","1,622.01"
"2005","West Virginia","1,500.11","1,143.65","2,643.75","933.53","716.02","1,649.55"
"2006","West Virginia","1,555.64","1,201.88","2,757.52","949.66","730.08","1,679.74"
"2007","West Virginia","1,610.17","1,229.97","2,840.14","943.39","722.46","1,665.85"
"2008","West Virginia","1,710.19","1,295.01","3,005.20","938.86","727.19","1,666.05"
"2009","West Virginia","1,684.07","1,312.56","2,996.63","917.53","711.23","1,628.76"
"2010","West Virginia","1,768.88","1,363.65","3,132.53","958.10","729.61","1,687.71"
"2011","West Virginia","1,867.85","1,451.18","3,319.03","962.44","759.55","1,722.00"
"2012","West Virginia","1,991.88","1,537.54","3,529.42","999.35","783.20","1,782.55"
"2013","West Virginia","2,001.75","1,589.49","3,591.23","992.51","791.49","1,784.00"
"2014","West Virginia","2,043.44","1,657.79","3,701.24","989.08","806.51","1,795.59"
"2015","West Virginia","2,049.61","1,760.95","3,810.56","981.93","831.33","1,813.26"
"2016","West Virginia","2,112.14","1,822.61","3,934.75","1,026.47","843.58","1,870.04"
"2017","West Virginia","2,176.32","1,913.77","4,090.09","1,060.01","868.29","1,928.30"
"2018","West Virginia","2,226.17","1,984.41","4,210.58","1,081.06","881.73","1,962.79"
"2019","West Virginia","2,235.68","2,081.42","4,317.10","1,078.26","897.25","1,975.50"
"2020","West Virginia","2,347.92","1,881.50","4,229.41","1,093.89","789.51","1,883.40"
"2021","West Virginia","2,550.54","2,324.72","4,875.27","1,148.84","939.17","2,088.01"
"2022","West Virginia","2,520.30","2,488.02","5,008.31","1,019.24","932.67","1,951.90"
"2023","West Virginia","2,503.34","2,596.90","5,100.24","961.02","908.83","1,869.86"
"1997","Wisconsin","1,386.46","882.81","2,269.26","1,036.92","673.24","1,710.16"
"1998","Wisconsin","1,406.70","923.33","2,330.03","1,033.26","686.38","1,719.64"
"1999","Wisconsin","1,476.25","972.60","2,448.85","1,061.98","705.23","1,767.21"
"2000","Wisconsin","1,527.57","1,017.62","2,545.19","1,074.06","717.57","1,791.63"
"2001","Wisconsin","1,570.24","1,053.99","2,624.23","1,070.71","722.47","1,793.18"
"2002","Wisconsin","1,557.02","1,079.27","2,636.29","1,053.57","724.22","1,777.80"
"2003","Wisconsin","1,602.77","1,131.74","2,734.51","1,069.44","744.60","1,814.04"
"2004","Wisconsin","1,667.22","1,194.67","2,861.90","1,081.11","763.43","1,844.54"
"2005","Wisconsin","1,738.60","1,247.41","2,986.01","1,103.76","770.81","1,874.57"
"2006","Wisconsin","1,771.24","1,307.23","3,078.47","1,106.78","786.34","1,893.12"
"2007","Wisconsin","1,828.60","1,345.70","3,174.30","1,098.97","782.54","1,881.51"
"2008","Wisconsin","1,872.27","1,362.73","3,235.00","1,057.52","756.58","1,814.10"
"2009","Wisconsin","1,801.51","1,341.68","3,143.18","1,007.99","718.08","1,726.07"
"2010","Wisconsin","1,821.33","1,369.73","3,191.06","1,014.55","725.13","1,739.68"
"2011","Wisconsin","1,902.95","1,430.83","3,333.78","1,012.42","738.86","1,751.27"
"2012","Wisconsin","2,097.35","1,501.98","3,599.33","1,087.36","753.68","1,841.03"
"2013","Wisconsin","2,138.79","1,581.81","3,720.60","1,102.74","775.03","1,877.77"
"2014","Wisconsin","2,212.09","1,681.41","3,893.50","1,112.90","801.67","1,914.57"
"2015","Wisconsin","2,196.27","1,835.33","4,031.60","1,098.87","849.12","1,947.99"
"2016","Wisconsin","2,246.13","1,938.90","4,185.03","1,138.96","874.66","2,013.62"
"2017","Wisconsin","2,290.89","2,068.04","4,358.93","1,165.82","917.58","2,083.40"
"2018","Wisconsin","2,354.01","2,145.03","4,499.04","1,197.59","929.52","2,127.11"
"2019","Wisconsin","2,395.58","2,222.03","4,617.61","1,212.76","937.83","2,150.59"
"2020","Wisconsin","2,523.78","1,944.52","4,468.30","1,241.82","800.32","2,042.14"
"2021","Wisconsin","2,710.11","2,421.45","5,131.56","1,289.29","948.37","2,237.66"
"2022","Wisconsin","2,843.82","2,703.04","5,546.87","1,198.77","973.63","2,172.40"
"2023","Wisconsin","2,909.62","2,872.36","5,781.98","1,165.70","968.63","2,134.33"
"1997","Wyoming","1,832.02","1,122.04","2,954.06","1,309.87","875.70","2,185.57"
"1998","Wyoming","1,827.28","1,175.57","3,002.85","1,267.55","893.61","2,161.17"
"1999","Wyoming","1,890.72","1,237.23","3,127.95","1,285.51","920.62","2,206.14"
"2000","Wyoming","1,885.88","1,294.82","3,180.70","1,256.53","942.40","2,198.94"
"2001","Wyoming","2,033.45","1,317.35","3,350.80","1,300.51","929.44","2,229.95"
"2002","Wyoming","2,036.90","1,390.99","3,427.88","1,278.83","950.06","2,228.89"
"2003","Wyoming","2,119.39","1,464.90","3,584.30","1,295.68","981.52","2,277.20"
"2004","Wyoming","2,279.81","1,562.10","3,841.90","1,343.64","1,015.40","2,359.05"
"2005","Wyoming","2,405.92","1,634.80","4,040.72","1,405.16","1,025.92","2,431.09"
"2006","Wyoming","2,507.86","1,704.53","4,212.39","1,447.27","1,039.20","2,486.47"
"2007","Wyoming","2,479.30","1,766.14","4,245.43","1,366.45","1,039.50","2,405.95"
"2008","Wyoming","2,501.60","1,818.48","4,320.08","1,298.63","1,031.08","2,329.71"
"2009","Wyoming","2,287.70","1,721.77","4,009.47","1,196.29","946.75","2,143.05"
"2010","Wyoming","2,256.13","1,744.39","4,000.51","1,186.91","948.07","2,134.98"
"2011","Wyoming","2,265.91","1,838.63","4,104.54","1,136.52","977.35","2,113.87"
"2012","Wyoming","2,381.65","1,922.33","4,303.98","1,173.40","991.50","2,164.91"
"2013","Wyoming","2,415.61","2,012.79","4,428.40","1,179.57","1,016.75","2,196.32"
"2014","Wyoming","2,517.37","2,159.22","4,676.60","1,195.88","1,064.42","2,260.30"
"2015","Wyoming","2,559.62","2,345.50","4,905.12","1,195.90","1,123.93","2,319.84"
"2016","Wyoming","2,594.32","2,415.67","5,009.99","1,226.19","1,120.78","2,346.97"
"2017","Wyoming","2,714.88","2,574.80","5,289.68","1,287.15","1,156.69","2,443.85"
"2018","Wyoming","2,808.00","2,704.59","5,512.58","1,325.51","1,174.97","2,500.48"
"2019","Wyoming","2,873.98","2,851.21","5,725.19","1,336.29","1,196.14","2,532.43"
"2020","Wyoming","3,121.94","2,758.76","5,880.70","1,395.92","1,106.66","2,502.58"
"2021","Wyoming","3,389.81","3,514.07","6,903.87","1,452.35","1,344.11","2,796.46"
"2022","Wyoming","3,591.28","3,778.54","7,369.83","1,381.16","1,347.13","2,728.29"
"2023","Wyoming","3,638.57","4,000.32","7,638.89","1,337.45","1,327.31","2,664.75"
"FAH = food at home, FAFH = food away from home.","","","","","","",""
"Note: These estimates are for sales only and exclude food furnished, donated, home produced, and served at educational institutions. The State sales are benchmarked to the national sales. In February 2024, the State-Level Food Expenditure Series underlying data were replaced. See the USDA, Economic Research Service (ERS) report, Addendum to Estimating the State-Level Food Expenditure Series (2024) and the Food Expenditure Series Documentation page for more details. ","","","","","","",""
"Source: Calculated by USDA, ERS from various sources, June 3, 2024.","","","","","","",""
